72,2.62,271,26.568,27.481,0.93528,56
72,2.64,271,26.568,27.273,0.95502,58
75,2.66,274,27.372,28.195,0.9958,60
72,2.27,270,26.667,31.718,0.61059,57
71,2.62,272,26.103,27.099,0.9375,58
70,2.63,271,25.83,26.616,0.94815,58
73,2.63,271,26.937,27.757,0.96598,58
72,2.31,273,26.374,31.169,0.54117,55
71,2.65,271,26.199,26.792,0.9776,58
71,2.61,271,26.199,27.203,0.92993,59
73,2.64,272,26.838,27.652,0.98478,59
69,2.44,273,25.275,28.279,0.59696,57
71,2.66,269,26.394,26.692,0.95472,57
70,2.63,270,25.926,26.616,0.93089,59
71,2.7,271,26.199,26.296,1.0164,59
73,2.55,273,26.74,28.627,0.70348,57
72,2.68,270,26.667,26.866,1.0008,60
72,2.66,271,26.568,27.068,0.90387,57
69,2.68,274,25.182,25.746,0.96912,58
72,2.69,273,26.374,26.766,0.86593,56
71,2.58,272,26.103,27.519,0.90283,58
69,2.57,272,25.368,26.848,0.87949,57
71,2.59,273,26.007,27.413,0.94066,56
72,2.49,276,26.087,28.916,0.82098,58
73,2.35,272,26.838,31.064,0.71625,56
69,2.61,273,25.275,26.437,0.91385,58
70,2.64,272,25.735,26.515,0.95158,57
72,2.61,275,26.182,27.586,0.90764,58
71,2.27,272,26.103,31.278,0.59555,55
71,2.63,272,26.103,26.996,0.91301,57
70,2.63,271,25.83,26.616,0.91173,58
72,2.62,273,26.374,27.481,0.92549,57
70,2.35,272,25.735,29.787,0.59787,57
72,2.7,271,26.568,26.667,1.0019,58
72,2.64,273,26.374,27.273,0.8926,55
73,2.69,272,26.838,27.138,0.97044,57
72,2.5,272,26.471,28.8,0.61548,55
74,2.69,272,27.206,27.509,0.94952,57
70,2.68,271,25.83,26.119,0.91041,56
71,2.74,271,26.199,25.912,1.0298,57
73,2.55,273,26.74,28.627,0.69044,56
69,2.67,269,25.651,25.843,0.96115,57
70,2.65,271,25.83,26.415,0.90103,57
70,2.74,271,25.83,25.547,1.0435,58
73,2.6,272,26.838,28.077,0.77195,58
73,2.64,271,26.937,27.652,0.92325,56
69,2.64,270,25.556,26.136,0.89281,56
70,2.64,269,26.022,26.515,0.94074,56
72,2.65,273,26.374,27.17,0.85901,58
73,2.58,269,27.138,28.295,0.85327,57
69,2.69,270,25.556,25.651,0.91826,56
70,2.69,269,26.022,26.022,0.96074,57
73,2.68,274,26.642,27.239,0.92474,57
72,2.43,270,26.667,29.63,0.65552,53
68,2.7,269,25.279,25.185,0.91996,56
72,2.74,271,26.568,26.277,0.94664,55
70,2.69,273,25.641,26.022,0.95004,56
68,2.35,271,25.092,28.936,0.51052,53
71,2.75,271,26.199,25.818,0.95978,56
71,2.75,269,26.394,25.818,0.94993,55
70,2.75,271,25.83,25.455,0.97111,56
72,2.58,272,26.471,27.907,0.61423,53
71,2.78,269,26.394,25.54,0.97401,56
70,2.76,270,25.926,25.362,0.93163,54
71,2.79,272,26.103,25.448,0.98136,55
71,2.71,272,26.103,26.199,0.71279,55
72,2.84,270,26.667,25.352,0.98033,56
68,2.79,270,25.185,24.373,0.93104,55
69,2.84,272,25.368,24.296,0.99312,54
71,2.74,273,26.007,25.912,0.79516,56
71,2.82,270,26.296,25.177,0.96444,56
67,2.8,271,24.723,23.929,0.92048,54
67,2.81,270,24.815,23.843,0.96496,54
70,2.81,273,25.641,24.911,0.9022,56
69,2.69,269,25.651,25.651,0.84022,55
70,2.87,271,25.83,24.39,0.96303,54
70,2.85,271,25.83,24.561,0.94376,53
70,2.88,272,25.735,24.306,1.0056,54
69,2.5,270,25.556,27.6,0.60007,52
68,2.87,270,25.185,23.693,0.95648,54
68,2.91,270,25.185,23.368,0.98481,53
69,2.9,273,25.275,23.793,0.99707,54
67,2.56,270,24.815,26.172,0.59859,53
68,2.85,270,25.185,23.86,0.92444,54
67,2.88,268,25,23.264,0.96981,53
69,2.93,271,25.461,23.549,1.0229,53
